Wall time,Step,Value
1736425156.2253497,4,1.1732228994369507
1736425206.426375,14,1.1422154903411865
1736425211.7254345,15,1.1365474462509155
1736425227.2519794,18,1.1249397993087769
1736425268.9387784,26,1.0805585384368896
1736425274.371384,27,1.0728567838668823
1736425341.2470787,40,0.9719183444976807
1736425365.5160043,47,0.9123477935791016
1736425367.356275,48,0.9088961482048035
1736425368.9699435,49,0.8952969312667847
1736425401.3066,62,0.7527644634246826
1736425403.7338803,63,0.7505264282226562
1736425418.1023512,67,0.7028375864028931
1736425423.70006,70,0.6825763583183289
1736425426.6155975,71,0.6718198657035828
1736425447.2140174,77,0.5971872806549072
1736425457.8454409,82,0.5415564775466919
1736425472.617891,89,0.498049795627594
1736425490.6585917,99,0.3836302161216736
1736425497.8684375,103,0.3811296224594116
1736425508.45556,107,0.3082706332206726
1736425537.1728394,121,0.231019526720047
1736425548.2803009,125,0.19264760613441467
1736425552.1090746,126,0.19393675029277802
1736425557.5457726,128,0.17871329188346863
1736425563.807075,130,0.17267203330993652
1736425578.851524,136,0.13779419660568237
1736425602.1780164,144,0.1697176694869995
1736425605.6767201,146,0.11651038378477097
1736425607.4456596,147,0.13325552642345428
1736425613.3006635,150,0.1128079891204834
1736425633.8097005,157,0.14693330228328705
1736425639.9368625,160,0.1224544495344162
1736425646.752704,162,0.0901288092136383
1736425652.2862105,164,0.10320107638835907
1736425673.604616,172,0.08757160604000092
1736425688.0704877,177,0.07505959272384644
1736425712.505374,184,0.07808170467615128
1736425732.4662254,191,0.07274185121059418
1736425734.7258494,192,0.0866624116897583
1736425764.2529802,203,0.07781161367893219
1736425767.8852787,205,0.055265627801418304
1736425783.6793022,213,0.08378257602453232
1736425813.4406905,229,0.08301444351673126
1736425841.4533288,244,0.05473129451274872
1736425842.9775157,245,0.05012726038694382
1736425870.371287,258,0.04530222713947296
1736425872.3273172,259,0.041243091225624084
1736425895.8234918,271,0.044096939265728
1736425900.939295,274,0.03231579065322876
1736425916.5885718,282,0.05447515472769737
1736425922.9302106,285,0.061814602464437485
1736425929.6829193,288,0.04012029990553856
1736425934.163372,290,0.03004320338368416
1736425944.2919207,295,0.029139680787920952
1736425948.1828065,297,0.04173452779650688
1736425969.2058961,308,0.03816625103354454
1736425975.8725934,312,0.04266919195652008
1736425986.6164405,316,0.03016374632716179
1736425993.402746,318,0.03730868548154831
1736425995.0906587,319,0.03342089056968689
1736426000.9999697,322,0.03297632932662964
1736426044.443603,345,0.026866761967539787
1736426047.9245567,346,0.02724999003112316
1736426098.843631,358,0.027364369481801987
1736426129.1452322,364,0.028717074543237686
1736426133.7239523,365,0.020747274160385132
1736426138.460916,366,0.021048126742243767
1736426192.292267,378,0.026127776131033897
1736426228.0661335,386,0.02867383509874344
1736426247.2703946,390,0.021322188898921013
1736426255.9979324,392,0.04170259088277817
1736426279.8332314,397,0.026083383709192276
1736426304.257079,402,0.025073032826185226
1736426313.814519,404,0.028172478079795837
1736426366.7529378,415,0.03582151234149933
1736426395.5689316,421,0.027335401624441147
1736426399.6176407,422,0.023599011823534966
1736426466.261362,436,0.022600941359996796
1736426471.6377666,437,0.018021298572421074
1736426482.7249424,439,0.019807303324341774
1736426519.3177214,446,0.017415378242731094
1736426551.3651435,452,0.021313920617103577
1736426564.998598,456,0.018706120550632477
1736426579.3391788,461,0.030055558308959007
1736426591.0228803,465,0.021692149341106415
1736426599.207945,468,0.019972680136561394
1736426605.454466,470,0.026652324944734573
1736426614.8505232,474,0.017038827762007713
1736426617.6323645,475,0.021382253617048264
1736426626.618246,480,0.016466934233903885
1736426630.0452058,481,0.01980932429432869
1736426641.6082032,487,0.017816077917814255
1736426693.4850578,510,0.033508893102407455
1736426696.5965273,512,0.012694241479039192
1736426698.2039502,513,0.011048674583435059
1736426700.6477609,514,0.021833840757608414
1736426707.16707,517,0.015384843572974205
1736426710.8692474,519,0.013319574296474457
1736426745.1876953,533,0.016002168878912926
1736426746.699659,534,0.01350698247551918
1736426753.1673203,536,0.02594999596476555
1736426761.0773106,538,0.0445539653301239
1736426768.480857,540,0.017910227179527283
1736426779.1977222,544,0.013470731675624847
1736426785.238263,546,0.014745190739631653
1736426799.713758,550,0.01472383551299572
1736426804.528039,552,0.015440739691257477
1736426822.2509696,556,0.015342685393989086
1736426854.1521869,562,0.013351171277463436
1736426863.9591153,564,0.013278297148644924
1736426880.766573,568,0.029631352052092552
1736426967.0092332,584,0.014716959558427334
1736426997.8321018,590,0.012048516422510147
1736427018.3697631,594,0.014087151736021042
1736427028.3599548,596,0.014192936941981316
1736427115.492224,613,0.014551941305398941
1736427120.941617,614,0.01811365596950054
1736427161.7916522,622,0.009822082705795765
1736427167.0313764,623,0.010650116950273514
1736427191.9064798,628,0.011773185804486275
1736427196.9937959,629,0.010261418297886848
1736427238.9064198,637,0.011631855741143227
1736427270.3500335,643,0.022033777087926865
1736427275.823179,644,0.012463013641536236
1736427301.3879962,649,0.0114730354398489
1736427349.8153126,658,0.008723387494683266
1736427360.5508573,660,0.01254846528172493
1736427398.0921462,667,0.012456236407160759
1736427440.598667,675,0.012263834476470947
1736427445.7613394,676,0.011063499376177788
1736427487.5715015,684,0.01658933237195015
1736427530.5352519,692,0.013778617605566978
1736427541.2741349,694,0.011784229427576065
1736427628.8289466,710,0.008231163956224918
1736427688.559247,721,0.01252734661102295
1736427699.639189,723,0.010335390456020832
1736427710.4276035,725,0.014624211005866528
1736427726.246979,728,0.009329723194241524
1736427731.3623579,729,0.009944867342710495
1736427742.0484552,731,0.00798589177429676
1736427747.3586135,732,0.009622303768992424
1736427752.1743097,733,0.009663674049079418
1736427811.9234958,744,0.007849903777241707
1736427918.5414238,764,0.01233543362468481
1736427977.7267134,775,0.00665175449103117
1736427983.1601675,776,0.013847569935023785
1736428004.67409,780,0.01018606498837471
1736428015.4019237,782,0.010499353520572186
